"","variable","model","experiment","value","sd"
"1","cl","CAM-ATRAS","shp_30p_red",-0.00771795503685251,0.00949046195281453
"2","cl","CESM1","shp_30p_red",-0.00554327961502317,0.00745212336260727
"3","cl","GISS-E2.1","shp_30p_red",-0.00249684911465575,0.00805359435149889
"4","clivi","CAM-ATRAS","shp_30p_red",-6.35811963085528e-07,9.76937975522319e-06
"5","clivi","CESM1","shp_30p_red",-3.95910286872494e-05,2.49824805095107e-05
"6","clivi","E3SM","shp_30p_red",-7.23089695159503e-06,1.96778575706392e-05
"7","clivi","GFDL-ESM4","shp_30p_red",7.3703673535308e-05,0.000135811013453751
"8","clivi","GISS-E2.1","shp_30p_red",0.000217891616710175,0.000340302050190819
"9","clivi","NorESM2","shp_30p_red",4.8858391861633e-05,5.91996382706529e-05
"10","clt","CAM-ATRAS","shp_30p_red",-0.00603603245769762,0.0312554134024317
"11","clt","CESM1","shp_30p_red",-0.0249949708960713,0.0346197116335795
"12","clt","E3SM","shp_30p_red",0.0318930058566266,0.0266354322077253
"13","clt","GISS-E2.1","shp_30p_red",-0.030162996332588,0.035157614880928
"14","clt","NorESM2","shp_30p_red",0.0235449943789106,0.0769138896013593
"15","cltc","E3SM","shp_30p_red",0,0
"16","cltc","GFDL-ESM4","shp_30p_red",-0.00030134519288314,0.0022627274193262
"17","cltc","GISS-E2.1","shp_30p_red",-0.00024480886132654,0.015340089675746
"18","dms","CAM-ATRAS","shp_30p_red",-4.68131604350224e-14,2.00560611079976e-13
"19","dms","CESM1","shp_30p_red",6.50619788275318e-14,7.51765158544551e-13
"20","dms","GFDL-ESM4","shp_30p_red",-8.06124037684414e-14,6.66518595886076e-14
"21","dms","GISS-E2.1","shp_30p_red",-5.72707462137732e-14,3.43325449123345e-14
"22","dms","NorESM2","shp_30p_red",-9.01816324889115e-15,1.95775750569835e-14
"23","drybc","CAM-ATRAS","shp_30p_red",6.29557743034837e-18,3.58820079440604e-17
"24","drybc","CESM1","shp_30p_red",1.4366173714346e-16,1.13972629746456e-16
"25","drybc","E3SM","shp_30p_red",7.3581417963326e-17,7.47082817512305e-17
"26","drybc","GFDL-ESM4","shp_30p_red",1.38282117944708e-17,8.92601601114701e-17
"27","drybc","GISS-E2.1","shp_30p_red",-1.12915746864789e-17,7.53072346432714e-17
"28","drybc","NorESM2","shp_30p_red",-2.62978151932714e-17,9.39627054457204e-17
"29","dryso2","CAM-ATRAS","shp_30p_red",-2.31800246439831e-13,6.96277273196918e-15
"30","dryso2","E3SM","shp_30p_red",-3.20368363147788e-13,1.33940131484771e-14
"31","dryso2","GFDL-ESM4","shp_30p_red",-3.54318644429248e-13,2.23271927666403e-14
"32","dryso2","GISS-E2.1","shp_30p_red",-4.23511718624935e-13,1.47669970002145e-14
"33","dryso2","NorESM2","shp_30p_red",-4.68336137847288e-13,3.86771205107569e-14
"34","dryso4","CAM-ATRAS","shp_30p_red",-7.27405650793847e-14,4.48569867404499e-15
"35","dryso4","CESM1","shp_30p_red",-6.44635703407308e-14,3.62551896253633e-15
"36","dryso4","E3SM","shp_30p_red",-6.04501396866779e-14,2.59823288465626e-15
"37","dryso4","GISS-E2.1","shp_30p_red",-3.87003715456276e-14,1.93788003891634e-15
"38","dryso4","NorESM2","shp_30p_red",-3.38394177653511e-14,4.07520301877801e-15
"39","emibc","CAM-ATRAS","shp_30p_red",1.83670449978946e-21,2.49585606464029e-21
"40","emibc","CESM1","shp_30p_red",-1.06806870075732e-21,4.2637219208226e-21
"41","emibc","E3SM","shp_30p_red",8.54289104430689e-23,3.4614461948419e-21
"42","emibc","GFDL-ESM4","shp_30p_red",4.17612651234251e-21,1.17212841070535e-20
"43","emibc","GISS-E2.1","shp_30p_red",1.6772826452472e-21,1.8625363204352e-22
"44","emibc","NorESM2","shp_30p_red",3.50474946266748e-22,8.24713445629169e-22
"45","emiso2","CAM-ATRAS","shp_30p_red",-6.07283324037726e-13,2.4137713170184e-14
"46","emiso2","CESM1","shp_30p_red",-5.99047956881993e-13,2.38442625670835e-14
"47","emiso2","E3SM","shp_30p_red",-6.42087329064051e-13,2.55580301497687e-14
