"","variable","model","experiment","value","sd"
"1","cl","CAM-ATRAS","shp_30p_red",0.00137725260399879,0.00370589375943729
"2","cl","CESM1","shp_30p_red",-0.00920612005079491,0.0145033049312964
"3","cl","GISS-E2.1","shp_30p_red",0.0144475058653549,0.0136240863179123
"4","clivi","CAM-ATRAS","shp_30p_red",-3.29411639325462e-06,1.05593733101306e-05
"5","clivi","CESM1","shp_30p_red",-1.58118418361476e-05,1.98416794962497e-05
"6","clivi","E3SM","shp_30p_red",-1.83169467538092e-05,2.33916198259483e-05
"7","clivi","GFDL-ESM4","shp_30p_red",8.55145745455782e-05,5.70782582942768e-05
"8","clivi","GISS-E2.1","shp_30p_red",-0.000112353467137422,0.000487306615041361
"9","clivi","NorESM2","shp_30p_red",-2.96565595080747e-06,4.83783361224494e-05
"10","clt","CAM-ATRAS","shp_30p_red",-0.0253782541949562,0.0492615308996085
"11","clt","CESM1","shp_30p_red",-0.00689538919129404,0.0782280336559945
"12","clt","E3SM","shp_30p_red",-0.0109057603673222,0.0261047092261409
"13","clt","GISS-E2.1","shp_30p_red",0.0215039308131139,0.0159624160382923
"14","clt","NorESM2","shp_30p_red",0.0196539404374008,0.0331984056485245
"15","cltc","E3SM","shp_30p_red",0,0
"16","cltc","GFDL-ESM4","shp_30p_red",-0.000947510962553011,0.00138088590341449
"17","cltc","GISS-E2.1","shp_30p_red",-0.0039759130880153,0.0157825783792348
"18","dms","CAM-ATRAS","shp_30p_red",-6.6976260327152e-14,1.91214523091262e-13
"19","dms","CESM1","shp_30p_red",-2.35435187580508e-13,2.82578874916763e-13
"20","dms","GFDL-ESM4","shp_30p_red",-1.25437604276895e-13,1.19325806059869e-13
"21","dms","GISS-E2.1","shp_30p_red",-8.80035555532641e-15,4.2857510648626e-14
"22","dms","NorESM2","shp_30p_red",1.92348881378811e-14,8.40247358166981e-14
"23","drybc","CAM-ATRAS","shp_30p_red",-7.60551734231909e-18,1.04679286099467e-17
"24","drybc","CESM1","shp_30p_red",1.12163444896583e-16,1.58195625148775e-16
"25","drybc","E3SM","shp_30p_red",4.3258472429358e-17,9.63436924425596e-17
